generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (25 ms)
generador-1  | Hit rate: 0.00% (0/1)
generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 0.00% (0/2)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (9 ms)
generador-1  | Hit rate: 0.00% (0/3)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (42 ms)
generador-1  | Hit rate: 0.00% (0/4)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 0.00% (0/5)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (4 ms)
generador-1  | Hit rate: 16.67% (1/6)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (2 ms)
generador-1  | Hit rate: 28.57% (2/7)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (3 ms)
generador-1  | Hit rate: 37.50% (3/8)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (6 ms)
generador-1  | Hit rate: 44.44% (4/9)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (2 ms)
generador-1  | Hit rate: 50.00% (5/10)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (3 ms)
generador-1  | Hit rate: 54.55% (6/11)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (3 ms)
generador-1  | Hit rate: 58.33% (7/12)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (3 ms)
generador-1  | Hit rate: 61.54% (8/13)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 57.14% (8/14)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 60.00% (9/15)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (10 ms)
generador-1  | Hit rate: 56.25% (9/16)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (3 ms)
generador-1  | Hit rate: 58.82% (10/17)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (3 ms)
generador-1  | Hit rate: 61.11% (11/18)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (3 ms)
generador-1  | Hit rate: 63.16% (12/19)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (3 ms)
generador-1  | Hit rate: 65.00% (13/20)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 66.67% (14/21)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (3 ms)
generador-1  | Hit rate: 68.18% (15/22)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (3 ms)
generador-1  | Hit rate: 69.57% (16/23)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (3 ms)
generador-1  | Hit rate: 70.83% (17/24)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (2 ms)
generador-1  | Hit rate: 72.00% (18/25)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 73.08% (19/26)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 74.07% (20/27)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 75.00% (21/28)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 75.86% (22/29)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (3 ms)
generador-1  | Hit rate: 76.67% (23/30)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 77.42% (24/31)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 78.13% (25/32)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (6 ms)
generador-1  | Hit rate: 75.76% (25/33)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (3 ms)
generador-1  | Hit rate: 76.47% (26/34)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (11 ms)
generador-1  | Hit rate: 74.29% (26/35)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (2 ms)
generador-1  | Hit rate: 75.00% (27/36)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (3 ms)
generador-1  | Hit rate: 75.68% (28/37)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (2 ms)
generador-1  | Hit rate: 76.32% (29/38)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 76.92% (30/39)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (4 ms)
generador-1  | Hit rate: 77.50% (31/40)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (3 ms)
generador-1  | Hit rate: 78.05% (32/41)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 78.57% (33/42)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (3 ms)
generador-1  | Hit rate: 79.07% (34/43)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (10 ms)
generador-1  | Hit rate: 79.55% (35/44)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 80.00% (36/45)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 80.43% (37/46)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 80.85% (38/47)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 81.25% (39/48)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (3 ms)
generador-1  | Hit rate: 81.63% (40/49)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (2 ms)
generador-1  | Hit rate: 82.00% (41/50)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 82.35% (42/51)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (5 ms)
generador-1  | Hit rate: 82.69% (43/52)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (3 ms)
generador-1  | Hit rate: 83.02% (44/53)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 83.33% (45/54)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 83.64% (46/55)
