generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (25 ms)
generador-1  | Hit rate: 0.00% (0/1)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (12 ms)
generador-1  | Hit rate: 0.00% (0/2)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (51 ms)
generador-1  | Hit rate: 0.00% (0/3)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (51 ms)
generador-1  | Hit rate: 0.00% (0/4)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (4 ms)
generador-1  | Hit rate: 20.00% (1/5)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (44 ms)
generador-1  | Hit rate: 16.67% (1/6)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
generador-1  | Hit rate: 28.57% (2/7)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (3 ms)
generador-1  | Hit rate: 37.50% (3/8)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 44.44% (4/9)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
generador-1  | Hit rate: 50.00% (5/10)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
generador-1  | Hit rate: 54.55% (6/11)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (11 ms)
generador-1  | Hit rate: 50.00% (6/12)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (3 ms)
generador-1  | Hit rate: 53.85% (7/13)
generador-1  | [CACHÉ HIT] Santiago → 5 eventos (5 ms)
generador-1  | Hit rate: 57.14% (8/14)
generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (6 ms)
generador-1  | Hit rate: 53.33% (8/15)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 50.00% (8/16)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 47.06% (8/17)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 44.44% (8/18)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (6 ms)
generador-1  | Hit rate: 42.11% (8/19)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (3 ms)
generador-1  | Hit rate: 45.00% (9/20)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 47.62% (10/21)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (2 ms)
generador-1  | Hit rate: 50.00% (11/22)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (4 ms)
generador-1  | Hit rate: 52.17% (12/23)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (6 ms)
generador-1  | Hit rate: 50.00% (12/24)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (42 ms)
generador-1  | Hit rate: 48.00% (12/25)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (3 ms)
generador-1  | Hit rate: 50.00% (13/26)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (10 ms)
generador-1  | Hit rate: 48.15% (13/27)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 46.43% (13/28)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 48.28% (14/29)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 50.00% (15/30)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (3 ms)
generador-1  | Hit rate: 51.61% (16/31)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (52 ms)
generador-1  | Hit rate: 50.00% (16/32)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (50 ms)
generador-1  | Hit rate: 48.48% (16/33)
generador-1  | [CACHÉ HIT] Ñuñoa → 5 eventos (2 ms)
generador-1  | Hit rate: 50.00% (17/34)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (10 ms)
generador-1  | Hit rate: 48.57% (17/35)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 50.00% (18/36)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (46 ms)
generador-1  | Hit rate: 48.65% (18/37)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (3 ms)
generador-1  | Hit rate: 50.00% (19/38)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 48.72% (19/39)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (47 ms)
generador-1  | Hit rate: 47.50% (19/40)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 46.34% (19/41)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 45.24% (19/42)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 46.51% (20/43)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (41 ms)
generador-1  | Hit rate: 45.45% (20/44)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (39 ms)
generador-1  | Hit rate: 44.44% (20/45)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (42 ms)
generador-1  | Hit rate: 43.48% (20/46)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 42.55% (20/47)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 41.67% (20/48)
generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 40.82% (20/49)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 42.00% (21/50)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 43.14% (22/51)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 44.23% (23/52)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (9 ms)
generador-1  | Hit rate: 43.40% (23/53)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (3 ms)
generador-1  | Hit rate: 44.44% (24/54)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
