comuna,tipo,fecha,descripcion
Santiago,Peligro,2025-04-20T00:29:40.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:39:04.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-15T13:24:09.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-03-18T00:36:35.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-07T13:34:01.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Policía,2025-06-29T22:26:42.801Z,"Av. María Rozas Velásquez"
Santiago,Peligro,2025-04-20T04:18:16.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T10:43:27.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Policía,2025-04-21T06:31:06.000Z,"Av. María Rozas Velásquez"
Santiago,Peligro,2025-04-20T18:57:49.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T00:43:38.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T08:06:08.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-21T05:40:11.000Z,"Av. Libertador Bernardo O'Higgins"
Recoleta,Peligro,2025-06-29T22:26:42.801Z,"Antonia López de Bello"
Santiago,Corte de ruta,2025-02-16T11:11:43.000Z,"Salvador Sanfuentes"
Santiago,Peligro,2025-04-20T13:48:40.000Z,"Av. Libertador Bernardo O'Higgins"
Providencia,Corte de ruta,2024-10-31T09:55:33.000Z,"Merced"
Santiago,Peligro,2025-04-18T22:45:26.000Z,"Av. Libertador Bernardo O'Higgins"
Providencia,Corte de ruta,2025-04-03T15:41:49.000Z,"General Bustamante"
Providencia,Corte de ruta,2025-03-20T02:42:41.000Z,"Ramón Carnicer"
Santiago,Peligro,2025-04-20T18:12:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:33:14.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-16T00:52:00.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T06:18:50.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:05:25.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-17T19:33:10.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T13:39:52.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Accidente,2025-06-29T22:26:42.801Z,"San Isidro"
Santiago,Corte de ruta,2024-11-28T00:10:14.000Z,"road_closed_event"
Santiago,Peligro,2025-04-20T00:37:24.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Accidente,2025-04-21T06:39:26.000Z,"Coronel Souper"
Santiago,Peligro,2025-04-20T11:29:01.000Z,"Av. Libertador Bernardo O'Higgins"
Quinta Normal,Otro,2025-06-29T22:26:42.801Z,"Rivas Vicuña"
Providencia,Otro,2025-06-29T22:26:42.801Z,"General Bustamante"
Santiago,Otro,2025-06-29T22:26:42.801Z,"Salvador Sanfuentes"
Santiago,Peligro,2025-04-20T14:40:00.000Z,"Av. Libertador Bernardo O'Higgins"
Recoleta,Peligro,2025-04-21T06:45:09.000Z,"Antonia López de Bello"
Santiago,Peligro,2025-04-20T00:37:39.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:40:25.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T11:28:09.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:59:31.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T08:07:24.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:12:58.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:09:45.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:39:04.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T11:33:07.000Z,"Av. Libertador Bernardo O'Higgins"
Recoleta,Otro,2025-06-29T22:26:42.801Z,"Bombero Núñez"
Providencia,Otro,2025-06-29T22:26:42.802Z,"Sin descripción"
Santiago,Otro,2025-06-29T22:26:42.802Z,"Claudio Gay"
Santiago,Peligro,2025-04-20T13:50:18.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:13:41.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-17T19:40:58.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:39:27.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T11:34:08.000Z,"Av. Libertador Bernardo O'Higgins"
Independencia,Otro,2025-06-29T22:26:42.802Z,"Barnechea"
Quinta Normal,Otro,2025-06-29T22:26:42.802Z,"Dr. Lucas Sierra"
